joueur,equipe,competition,journee,type,x,y,resultat,angle,distance
Lafage,Vannes,TOP 14,5,,24.696969696969703,40.56818181818183,réussi,29.97708195324883,18.027403199772863
Lafage,Vannes,TOP 14,5,,23.939393939393945,43.12500000000001,réussi,27.999274888408745,18.31658251314839
Lafage,Vannes,TOP 14,5,,32.46212121212122,12.53787878787879,réussi,13.1215296957311,33.39548752890708
Lafage,Vannes,TOP 14,5,,21.00378787878788,39.43181818181819,réussi,37.72097406186707,14.164875160180175
LeGarrec,Racing,TOP 14,5,,18.82575757575757,29.488636363636367,réussi,41.546320656043,12.431840398942343
LeGarrec,Racing,TOP 14,5,,39.94318181818183,37.91666666666667,réussi,17.639083253145603,32.48513259659934
LeGarrec,Racing,TOP 14,5,,30.094696969696976,54.96212121212122,réussi,14.322719978203576,30.178856022684577
LeGarrec,Racing,TOP 14,5,,21.19318181818182,44.16666666666667,réussi,29.08013444770029,16.482306136466967
LeGarrec,Racing,TOP 14,5,,25.928030303030305,25.227272727272737,réussi,24.8710780799445,20.69177544325356
Reus,LaRochelle,TOP 14,5,,41.07954545454547,52.97348484848486,réussi,13.33447614627934,38.071774008867486
Reus,LaRochelle,TOP 14,5,,25.170454545454547,48.99621212121213,réussi,20.076683784440704,22.561043767504355
Reus,LaRochelle,TOP 14,5,,33.7878787878788,0.9848484848484844,raté,8.456630022061821,42.79826376315931
Reus,LaRochelle,TOP 14,5,,38.90151515151515,21.534090909090917,réussi,15.723846564086127,34.00801422133754
Méliande,Lyon,TOP 14,5,,19.583333333333336,25.79545454545455,réussi,31.481385814971546,15.009544378936654
Méliande,Lyon,TOP 14,5,,19.678030303030305,44.356060606060616,réussi,29.95925529152232,15.373754820907886
Méliande,Lyon,TOP 14,5,,30.094696969696976,13.295454545454549,raté,13.6849130851158,31.144003546405703
Hastoy,LaRochelle,TOP 14,5,,34.35606060606061,68.97727272727273,réussi,8.214019072821879,43.371470572870265
Hastoy,LaRochelle,TOP 14,5,,33.50378787878789,64.71590909090911,raté,9.58224014430441,39.54009573075354
Hastoy,LaRochelle,TOP 14,5,,33.977272727272734,66.6098484848485,raté,8.941765766218417,41.29075651981229
Hastoy,LaRochelle,TOP 14,5,,33.69318181818183,68.97727272727273,raté,8.162817869926606,42.96576942037414
Hastoy,LaRochelle,TOP 14,5,,18.352272727272737,46.72348484848486,réussi,25.004111931392178,16.0238074086101
Jackson,Lyon,TOP 14,5,,19.3939393939394,30.814393939393945,réussi,42.77587896906011,12.457781377990216
Ramos,Toulouse,TOP 14,5,,21.09848484848485,26.64772727272728,réussi,31.59903697477447,15.7858740747963
Ramos,Toulouse,TOP 14,5,,34.26136363636364,51.07954545454546,réussi,15.806459050963875,31.214755722332136
Ramos,Toulouse,TOP 14,5,,18.63636363636364,32.99242424242425,réussi,48.38640598209559,11.185672441285243
Ramos,Toulouse,TOP 14,5,,32.36742424242425,56.95075757575758,réussi,13.015007529645926,33.19861561570538
Ramos,Toulouse,TOP 14,5,,13.806818181818189,35.92803030303031,réussi,77.43131506584676,6.297526484155583
LeBrun,Castres,TOP 14,5,,39.75378787878789,24.659090909090917,réussi,16.37972987580332,33.7228261221442
LeBrun,Castres,TOP 14,5,,30.47348484848485,14.715909090909092,raté,14.51704303226107,30.462191510586365
LeBrun,Castres,TOP 14,5,,24.696969696969703,45.49242424242425,réussi,24.37678412544681,20.14097913933185
LeBrun,Castres,TOP 14,5,,15.984848484848492,35.6439393939394,réussi,61.94574701128353,8.419247637030614
LeBrun,Castres,TOP 14,5,,52.44318181818183,35.73863636363637,raté,12.885434570779047,44.84803895470909
LeBrun,Castres,TOP 14,5,,29.621212121212125,54.01515151515153,réussi,14.982653519919763,29.197165896441007
LeBrun,Castres,TOP 14,5,,46.85606060606061,24.659090909090917,raté,13.836805100920724,40.5504874867236
Simmonds,Pau,TOP 14,5,,37.29166666666667,15.37878787878788,raté,13.77641156091678,35.49715624886307
Simmonds,Pau,TOP 14,5,,23.65530303030303,42.36742424242425,réussi,29.291791471835538,17.728957160649134
Simmonds,Pau,TOP 14,5,,29.715909090909093,5.530303030303031,réussi,9.73394173647246,36.71416292441009
Aucagne,Perpignan,TOP 14,5,,21.382575757575765,47.67045454545456,réussi,22.825480603429817,18.82791528546871
Aucagne,Perpignan,TOP 14,5,,32.36742424242425,67.93560606060608,raté,8.375589325549,41.33525439098004
Aucagne,Perpignan,TOP 14,5,,40.227272727272734,17.840909090909093,réussi,14.047717321135526,36.78590298863362
Allan,Perpignan,TOP 14,5,,46.00378787878789,49.94318181818183,raté,13.015939451733416,41.26338279793399
Jalibert,Bordeaux,TOP 14,5,,31.515151515151523,4.962121212121213,raté,9.668599249823105,38.26700913176083
Jalibert,Bordeaux,TOP 14,5,,40.89015151515152,17.556818181818187,réussi,13.788754989384037,37.5050812481851
Jalibert,Bordeaux,TOP 14,5,,21.66666666666667,30.246212121212125,réussi,36.49614743304665,14.793503504077751
Jalibert,Bordeaux,TOP 14,5,,31.60984848484849,68.69318181818183,raté,8.0522074599394,41.50153443247888
Jalibert,Bordeaux,TOP 14,5,,30.37878787878788,4.772727272727273,réussi,9.49345230254801,37.7182321717992
Segonds,Bayonne,TOP 14,5,,26.496212121212125,21.060606060606062,réussi,20.29756977222866,23.382770121032664
Segonds,Bayonne,TOP 14,5,,38.52272727272728,26.64772727272728,réussi,17.47836752271909,31.985224511699464
Segonds,Bayonne,TOP 14,5,,18.352272727272737,40.9469696969697,réussi,40.42781313633029,12.362398336058243
Segonds,Bayonne,TOP 14,5,,32.08333333333334,2.5,réussi,8.814076130348763,40.55911120407314
Garcia,Bordeaux,TOP 14,5,,48.19294082752485,54.43719412724306,réussi,11.536051728258755,45.072577106770936
Vincent,Montpellier,TOP 14,5,,50.45454545454547,45.9659090909091,réussi,12.62158748594613,44.2714663299423
Vincent,Montpellier,TOP 14,5,,18.73106060606061,25.132575757575765,réussi,30.57922687248904,14.76559292567488
Vincent,Montpellier,TOP 14,5,,31.988636363636378,10.265151515151516,réussi,12.00545003777165,34.61902853086766
Vincent,Montpellier,TOP 14,5,,51.02272727272728,17.178030303030305,raté,11.495831286952203,46.873039062136456
Henry,StadeFrançais,TOP 14,5,,41.55303030303031,48.90151515151516,réussi,14.503664516275338,36.74614603533837
Henry,StadeFrançais,TOP 14,5,,27.632575757575765,30.53030303030304,réussi,27.296782084816364,20.48663395622351
Henry,StadeFrançais,TOP 14,5,,40.89015151515152,21.060606060606062,raté,14.903761428068728,36.02500998487036
Vincent,Montpellier,TOP 14,5,,44.77272727272728,27.215909090909093,réussi,14.94213714471724,37.94224088713857
Vincent,Montpellier,TOP 14,5,,45.05681818181819,26.553030303030305,raté,14.737334836611696,38.35829311146029
Vincent,Montpellier,TOP 14,5,,45.05681818181819,26.931818181818187,raté,14.796044609236908,38.27825583060135
Vincent,Montpellier,TOP 14,5,,44.77272727272728,27.40530303030304,raté,14.970299497100363,37.90464316449182
Carbonel,StadeFrançais,TOP 14,5,,30.284090909090917,6.571969696969697,réussi,10.233729429365374,36.24092744910706
Carbonel,StadeFrançais,TOP 14,5,,19.29924242424243,29.015151515151523,réussi,39.383430305225566,13.064921914439244
Carbonel,StadeFrançais,TOP 14,5,,30.000000000000007,56.00378787878789,réussi,13.68317057593313,30.81429790359586
Carbonel,StadeFrançais,TOP 14,5,,40.89015151515152,39.43181818181819,réussi,16.97627068814921,33.601348589137366
Carbonel,StadeFrançais,TOP 14,5,,44.67803030303031,55.15151515151515,réussi,11.97924524562984,42.27373914355916
Vincent,Montpellier,TOP 14,5,,30.284090909090917,2.21590909090909,réussi,8.528921259062951,39.73217855446206
Urdapilleta,Clermont,TOP 14,5,,28.20075757575757,52.31060606060607,réussi,16.392544110926433,27.008814227416103
Urdapilleta,Clermont,TOP 14,5,,31.42045454545455,51.74242424242425,réussi,16.16008158255419,29.20515035434549
Urdapilleta,Clermont,TOP 14,5,,42.40530303030303,53.1628787878788,réussi,12.988918431624551,39.33043440853994
Urdapilleta,Clermont,TOP 14,5,,33.31439393939395,9.602272727272728,réussi,11.67549325997852,36.026503502322385
Urdapilleta,Clermont,TOP 14,5,,33.7878787878788,11.212121212121213,réussi,12.387381620329982,35.26778838642822
Serin,Toulon,TOP 14,5,,32.55681818181819,58.56060606060608,réussi,12.19323867580737,34.428893285943104
Serin,Toulon,TOP 14,5,,38.80681818181819,49.564393939393945,réussi,15.122418495169336,34.502786003777985
Serin,Toulon,TOP 14,5,,38.90151515151515,42.55681818181819,réussi,17.338492239508902,32.23489577765999
Serin,Toulon,TOP 14,5,,44.96212121212122,52.594696969696976,réussi,12.605229403760948,41.36279735038191
Serin,Toulon,TOP 14,5,,46.09848484848486,14.905303030303031,réussi,11.93969706730706,43.34934153149754
Serin,Toulon,TOP 14,5,,31.60984848484849,17.651515151515156,réussi,16.14236273932467,29.524276719435232
LeGarrec,Racing,TOP 14,6,pénalité,42.94124758220501,17.562862669245654,raté,13.300822283056505,39.33414206795326
LeGarrec,Racing,TOP 14,6,pénalité,42.69946808510636,18.77176015473888,réussi,13.707453451139472,38.59840495127444
LeGarrec,Racing,TOP 14,6,pénalité,24.32422630560926,21.068665377176018,réussi,21.053174685805462,21.66063081346984
LeGarrec,Racing,TOP 14,6,pénalité,41.00701160541584,19.376208897485498,réussi,14.34523049681092,36.80826574632089
LeGarrec,Racing,TOP 14,6,pénalité,31.57761121856865,14.78239845261122,réussi,14.43126709605128,31.25690191125587
