joueur,equipe,journee,Pourcentage de réussite,Tirs réussis,Total de tentatives,Nombre de points marqués,Nombre total de xPoints,Difficulté,Rating
Belleau,Clermont,7,66.67,2,3,4,3.49,0.42,1.15
Daubagna,Pau,7,100.0,1,1,2,1.22,0.39,1.64
Garbisi,Toulon,7,50.0,1,2,2,3.74,0.06,0.53
Herve,Toulon,7,50.0,3,6,8,10.56,0.32,0.76
Hogg,Montpellier,7,100.0,1,1,2,1.99,0.01,1.01
Kinghorn,Toulouse,7,60.0,3,5,7,7.93,0.33,0.88
Lafage,Vannes,7,100.0,5,5,14,12.38,0.13,1.13
Lancaster,Racing,7,0.0,0,1,0,1.59,0.21,0.0
LeBail,Vannes,7,100.0,2,2,4,3.31,0.17,1.21
LeGarrec,Racing,7,100.0,1,1,3,2.81,0.06,1.07
Segonds,Bayonne,7,83.33,5,6,12,11.84,0.16,1.01
Simmonds,Pau,7,50.0,1,2,2,3.8,0.2,0.53
Urdapilleta,Clermont,7,40.0,2,5,4,6.72,0.33,0.59
Vincent,Montpellier,7,66.67,2,3,5,5.84,0.24,0.86
