joueur,equipe,competition,journee,type,x,y,resultat,angle,distance,proba,xPoints
Coly,Montpellier,TOP 14,6,pénalité,33.47826086956522,28.73517786561264,réussi,21.09645364886761,26.584310794775966,0.8979156367129026,2.693746910138708
Coly,Montpellier,TOP 14,6,pénalité,33.873517786561266,63.7812911725955,raté,9.947493501178709,39.08623990026042,0.5676366979316623,1.7029100937949868
Coly,Montpellier,TOP 14,6,pénalité,26.758893280632407,45.20421607378128,réussi,23.286718944488232,21.779369637680375,0.9416095038458697,2.8248285115376093
Coly,Montpellier,TOP 14,6,pénalité,42.43741765480896,16.613965744400524,réussi,13.135719739187131,39.31294698053919,0.6082196320651079,1.8246588961953236
Coly,Montpellier,TOP 14,6,pénalité,41.51515151515152,16.218708827404477,réussi,13.212872895092117,38.686828520801306,0.6239638623059582,1.8718915869178747
Coly,Montpellier,TOP 14,6,transformation,29.8075998075998,51.688311688311686,réussi,16.560309084912635,27.87276873632742,0.8552434904543087,1.7104869809086174
Coly,Montpellier,TOP 14,6,transformation,30.4088504088504,65.27657527657527,réussi,9.123898471106564,38.0328629864709,0.5811222347962007,1.1622444695924015
Lafage,Vannes,TOP 14,6,pénalité,35.401030655391125,16.294926004228323,réussi,14.563454436069367,33.41480046192357,0.751894998740179,2.2556849962205368
Lafage,Vannes,TOP 14,6,transformation,26.377465127465115,20.543530543530544,réussi,19.834154609311764,23.596559394863952,0.9164264944238061,1.8328529888476122
Lafage,Vannes,TOP 14,6,transformation,30.46596921596921,57.340067340067336,réussi,12.88557177924388,32.07739648717216,0.7578811491072299,1.5157622982144598
Jalibert,Bordeaux,TOP 14,6,transformation,31.01891003053794,2.097721400046982,raté,8.571743101747396,40.252236252360966,0.5186894926415426,1.0373789852830853
Jalibert,Bordeaux,TOP 14,6,transformation,30.31418839558374,21.47756636128729,raté,19.08863232766379,26.349068308040177,0.8887335043711012,1.7774670087422024
Jalibert,Bordeaux,TOP 14,6,transformation,30.90145642471224,18.423772609819125,réussi,16.809429724592377,28.499542062514656,0.84930312860687,1.69860625721374
Jalibert,Bordeaux,TOP 14,6,transformation,17.159384543105475,38.39088560018792,réussi,50.9575697337185,10.194016497454305,0.9962292005795892,1.9924584011591784
Jalibert,Bordeaux,TOP 14,6,transformation,18.216466995536763,37.09889593610524,réussi,49.37612861615326,10.850252505388791,0.9955812156817031,1.9911624313634062
Garcia,Bordeaux,TOP 14,6,transformation,23.844696969696976,19.16666666666667,réussi,18.945823921961196,22.569389259662703,0.9200825291355903,1.8401650582711806
Garcia,Bordeaux,TOP 14,6,transformation,19.962121212121215,30.53030303030304,réussi,40.785305847219426,13.087552891621902,0.9908416789616181,1.9816833579232362
Garcia,Bordeaux,TOP 14,6,transformation,32.65151515151516,64.52651515151516,réussi,9.605411418597553,38.84221057524201,0.5685596542729892,1.1371193085459783
Garcia,Bordeaux,TOP 14,6,transformation,32.08333333333334,55.43560606060608,réussi,13.854597541405932,31.991391932375986,0.7698344791005437,1.5396689582010874
Garcia,Bordeaux,TOP 14,6,transformation,31.79924242424243,63.10606060606061,réussi,10.11838945307153,37.207896334570826,0.6149864020800289,1.2299728041600577
Aucagne,Perpignan,TOP 14,6,transformation,31.79924242424243,60.26515151515153,raté,11.378724720760221,35.09829199971221,0.6796714293817194,1.3593428587634389
Aucagne,Perpignan,TOP 14,6,transformation,20.056818181818187,28.352272727272737,réussi,36.47959561028284,14.040881633155083,0.9870401727812951,1.9740803455625902
West,LaRochelle,TOP 14,6,transformation,28.390151515151523,50.79545454545456,réussi,17.554655204353725,26.20429591219545,0.8808762527713719,1.7617525055427439
Segonds,Bayonne,TOP 14,6,pénalité,18.92045454545452,37.26239669421488,réussi,46.58755194956127,11.57286263018353,0.9944018406349467,2.98320552190484
Segonds,Bayonne,TOP 14,6,pénalité,32.09194214876031,14.66425619834711,réussi,14.298920637902793,31.728095544483292,0.7790132329249775,2.3370396987749325
Segonds,Bayonne,TOP 14,6,transformation,30.376825247291578,53.35374470089495,réussi,15.32330237578136,29.349432517791318,0.8258407089719189,1.6516814179438377
Segonds,Bayonne,TOP 14,6,transformation,18.71879415920867,38.634008478568056,réussi,44.9982205592876,11.744654897030669,0.9937441030486716,1.9874882060973431
Segonds,Bayonne,TOP 14,6,transformation,30.61234102684881,69.36881771078662,raté,7.7183168980180685,41.49317235607339,0.47529260448917426,0.9505852089783485
Berdeu,Lyon,TOP 14,6,transformation,31.755906522855668,14.78171545968156,réussi,14.408397784904851,31.394295803681537,0.7857492991259772,1.5714985982519545
Berdeu,Lyon,TOP 14,6,transformation,30.60028248587569,21.843862352336927,réussi,19.21644790034385,26.413923204334207,0.8888521213551291,1.7777042427102583
Berdeu,Lyon,TOP 14,6,transformation,30.471879815100152,16.450950179763737,réussi,15.613157267834238,29.343708662069098,0.8283924939071952,1.6567849878143903
Berdeu,Lyon,TOP 14,6,transformation,16.604391371340512,33.78531073446327,réussi,58.27287146462387,9.061696184111227,0.9978169618153373,1.9956339236306746
Berdeu,Lyon,TOP 14,6,transformation,32.01271186440677,62.41910631741139,réussi,10.419486215120033,36.82985891079775,0.6280099393413582,1.2560198786827164
Carbonel,StadeFrançais,TOP 14,6,pénalité,30.6628787878788,32.14015151515152,réussi,24.496947992304463,23.216116592070712,0.9376359766237633,2.81290792987129
